,State,Year,Month,Indicator,Data_Value,Percent_Complete,Percent_Pending_Investigation,Predicted_Value
0,AK,2015,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
1,AK,2015,April,Natural & semi-synthetic opioids (T40.2),,100,0.0,
2,AK,2015,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
3,AK,2015,April,Number of Deaths,4133.0,100,0.0,
4,AK,2015,April,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
5,AK,2015,April,Cocaine (T40.5),,100,0.0,
6,AK,2015,April,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
7,AK,2015,April,Psychostimulants with abuse potential (T43.6),,100,0.0,
8,AK,2015,April,Heroin (T40.1),,100,0.0,
9,AK,2015,April,Percent with drugs specified,88.0952380952381,100,0.0,
10,AK,2015,April,Number of Drug Overdose Deaths,126.0,100,0.0,126.0
11,AK,2015,April,Methadone (T40.3),,100,0.0,
12,AK,2015,August,Number of Drug Overdose Deaths,124.0,100,0.0,124.0
13,AK,2015,August,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
14,AK,2015,August,Heroin (T40.1),,100,0.0,
15,AK,2015,August,Number of Deaths,4222.0,100,0.0,
16,AK,2015,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
17,AK,2015,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
18,AK,2015,August,Cocaine (T40.5),,100,0.0,
19,AK,2015,August,Psychostimulants with abuse potential (T43.6),,100,0.0,
20,AK,2015,August,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
21,AK,2015,August,Methadone (T40.3),,100,0.0,
22,AK,2015,August,Natural & semi-synthetic opioids (T40.2),,100,0.0,
23,AK,2015,August,Percent with drugs specified,87.9032258064516,100,0.0,
24,AK,2015,December,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
25,AK,2015,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
26,AK,2015,December,Heroin (T40.1),,100,0.0,
27,AK,2015,December,Percent with drugs specified,89.2561983471074,100,0.0,
28,AK,2015,December,Methadone (T40.3),,100,0.0,
29,AK,2015,December,Psychostimulants with abuse potential (T43.6),,100,0.0,
30,AK,2015,December,Number of Drug Overdose Deaths,121.0,100,0.0,121.0
31,AK,2015,December,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
32,AK,2015,December,Number of Deaths,4193.0,100,0.0,
33,AK,2015,December,Cocaine (T40.5),,100,0.0,
34,AK,2015,December,Natural & semi-synthetic opioids (T40.2),,100,0.0,
35,AK,2015,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
36,AK,2015,February,Number of Deaths,4084.0,100,0.0,
37,AK,2015,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
38,AK,2015,February,Number of Drug Overdose Deaths,127.0,100,0.0,127.0
39,AK,2015,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
40,AK,2015,February,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
41,AK,2015,February,Natural & semi-synthetic opioids (T40.2),,100,0.0,
42,AK,2015,February,Cocaine (T40.5),,100,0.0,
43,AK,2015,February,Psychostimulants with abuse potential (T43.6),,100,0.0,
44,AK,2015,February,Heroin (T40.1),,100,0.0,
45,AK,2015,February,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
46,AK,2015,February,Percent with drugs specified,88.9763779527559,100,0.0,
47,AK,2015,February,Methadone (T40.3),,100,0.0,
48,AK,2015,January,Cocaine (T40.5),,100,0.0,
49,AK,2015,January,Number of Drug Overdose Deaths,126.0,100,0.0,126.0
50,AK,2015,January,Number of Deaths,4034.0,100,0.0,
51,AK,2015,January,Methadone (T40.3),,100,0.0,
52,AK,2015,January,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
53,AK,2015,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
54,AK,2015,January,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
55,AK,2015,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
56,AK,2015,January,Natural & semi-synthetic opioids (T40.2),,100,0.0,
57,AK,2015,January,Psychostimulants with abuse potential (T43.6),,100,0.0,
58,AK,2015,January,Heroin (T40.1),,100,0.0,
59,AK,2015,January,Percent with drugs specified,89.6825396825397,100,0.0,
60,AK,2015,July,Psychostimulants with abuse potential (T43.6),,100,0.0,
61,AK,2015,July,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
62,AK,2015,July,Number of Deaths,4220.0,100,0.0,
63,AK,2015,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
64,AK,2015,July,Cocaine (T40.5),,100,0.0,
65,AK,2015,July,Number of Drug Overdose Deaths,117.0,100,0.0,117.0
66,AK,2015,July,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
67,AK,2015,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
68,AK,2015,July,Natural & semi-synthetic opioids (T40.2),,100,0.0,
69,AK,2015,July,Heroin (T40.1),,100,0.0,
70,AK,2015,July,Percent with drugs specified,87.1794871794872,100,0.0,
71,AK,2015,July,Methadone (T40.3),,100,0.0,
72,AK,2015,June,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
73,AK,2015,June,Cocaine (T40.5),,100,0.0,
74,AK,2015,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
75,AK,2015,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
76,AK,2015,June,Methadone (T40.3),,100,0.0,
77,AK,2015,June,Percent with drugs specified,86.7768595041322,100,0.0,
78,AK,2015,June,Psychostimulants with abuse potential (T43.6),,100,0.0,
79,AK,2015,June,Heroin (T40.1),,100,0.0,
80,AK,2015,June,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
81,AK,2015,June,Number of Deaths,4201.0,100,0.0,
82,AK,2015,June,Natural & semi-synthetic opioids (T40.2),,100,0.0,
83,AK,2015,June,Number of Drug Overdose Deaths,121.0,100,0.0,121.0
84,AK,2015,March,Cocaine (T40.5),,100,0.0,
85,AK,2015,March,Number of Deaths,4101.0,100,0.0,
86,AK,2015,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
87,AK,2015,March,Methadone (T40.3),,100,0.0,
88,AK,2015,March,Number of Drug Overdose Deaths,125.0,100,0.0,125.0
89,AK,2015,March,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
90,AK,2015,March,Natural & semi-synthetic opioids (T40.2),,100,0.0,
91,AK,2015,March,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
92,AK,2015,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
93,AK,2015,March,Percent with drugs specified,88.8,100,0.0,
94,AK,2015,March,Psychostimulants with abuse potential (T43.6),,100,0.0,
95,AK,2015,March,Heroin (T40.1),,100,0.0,
96,AK,2015,May,Natural & semi-synthetic opioids (T40.2),,100,0.0,
97,AK,2015,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
98,AK,2015,May,Number of Deaths,4196.0,100,0.0,
99,AK,2015,May,Percent with drugs specified,86.4,100,0.0,
