year,town,admis,undup_clients,lat,lng
2012,Andover,,,41.728789,-72.370309
2012,Ansonia,134.0,85.0,41.34198,-73.078296
2012,Ashford,20.0,13.0,41.871915,-72.124128
2012,Avon,8.0,6.0,41.809641,-72.830547
2012,Barkhamsted,18.0,10.0,41.927066,-72.911918
2012,Beacon Falls,31.0,24.0,41.444336,-73.060658
2012,Berlin,75.0,50.0,41.626049,-72.749301
2012,Bethany,18.0,12.0,41.428339,-72.994834
2012,Bethel,79.0,53.0,41.371727,-73.407448
2012,Bethlehem,18.0,10.0,41.639532,-73.20938
2012,Bloomfield,31.0,19.0,41.830957,-72.737425
2012,Bolton,12.0,10.0,41.770886,-72.443722
2012,Bozrah,22.0,13.0,41.544947,-72.175639
2012,Branford,195.0,133.0,41.279802,-72.81404
2012,Bridgeport,1640.0,954.0,41.179195,-73.189476
2012,Bridgewater,,,41.535109,-73.366386
2012,Bristol,521.0,311.0,41.673037,-72.945791
2012,Brookfield,83.0,40.0,41.482447,-73.409561
2012,Brooklyn,38.0,25.0,41.788252,-71.949628
2012,Burlington,17.0,12.0,41.769828,-72.962087
2012,Canaan,33.0,18.0,41.963458,-73.334414
2012,Canterbury,34.0,22.0,41.698351,-71.971118
2012,Canton,24.0,15.0,41.824474,-72.896794
2012,Chaplin,24.0,15.0,41.797715,-72.129312
2012,Cheshire,37.0,29.0,41.498834,-72.901448
2012,Chester,10.0,7.0,41.40159,-72.453465
2012,Clinton,59.0,35.0,41.278677,-72.528067
2012,Colchester,138.0,60.0,41.57348,-72.332129
2012,Colebrook,0.0,0.0,41.991381,-73.097592
2012,Columbia,12.0,11.0,41.701926,-72.302082
2012,Cornwall,0.0,0.0,41.844248,-73.33229
2012,Coventry,43.0,21.0,41.774042,-72.309999
2012,Cromwell,45.0,27.0,41.595859,-72.645562
2012,Danbury,442.0,253.0,41.393666,-73.451539
2012,Darien,18.0,11.0,41.080002,-73.467371
2012,Deep River,21.0,13.0,41.385619,-72.435658
2012,Derby,84.0,60.0,41.322959,-73.089594
2012,Durham,16.0,13.0,41.485881,-72.681864
2012,East Granby,12.0,8.0,41.943168,-72.72611
2012,East Haddam,25.0,19.0,41.452557,-72.461201
2012,East Hampton,78.0,41.0,41.575581,-72.502526
